query-id	corpus-id	score
1	005b2j4b	2
1	00fmeepz	1
1	g7dhmyyo	2
1	0194oljo	1
1	021q9884	1
1	02f0opkr	1
1	047xpt2c	0
1	04ftw7k9	0
1	pl9ht0d0	0
1	05vx82oo	0
1	0604jed8	0
1	06o2tbon	0
1	06ya15z8	0
1	084o1dmp	0
1	08ds967z	1
1	08efpohc	0
1	0b4o0ccp	0
1	brqby02y	2
1	0chuwvg6	2
1	0cvoeiy0	0
1	0e1w86tg	1
1	qotm49rv	1
1	0hnh4n9e	1
1	0iq9s94n	1
1	0khg28ex	0
1	0l33i6s4	0
1	0lyxvex0	0
1	0m5mc320	0
1	ex7rta8f	2
1	0nh58odf	2
1	0oiq44gl	0
1	0paafp5j	0
1	0pbjttv4	0
1	0qaoam29	0
1	0qpfoh5t	0
1	0t2a5500	2
1	0ti403i4	0
1	0v5wo0ty	1
1	0xhho1sh	2
1	0xruezf2	1
1	0y34yxlb	2
1	105q161g	2
1	10ecm4wi	1
1	11edrkav	2
1	127c5bve	2
1	12dcftwt	2
1	13ir7swr	2
1	13jupb26	0
1	1585stal	0
1	cysldr06	0
1	16rgt4ca	0
1	18xs6375	0
1	1a8uevk8	0
1	1aal6njl	0
1	1abp6oom	2
1	pe8qxorf	0
1	1bapn9w0	0
1	1bpc8g6n	0
1	1bvsn9e8	2
1	1c47w4q5	1
1	1de98sxz	0
1	1dogron2	1
1	yggdch81	0
1	1esupl4q	0
1	1eytelxn	1
1	1g2mup0k	0
1	1hwcp09t	0
1	1i6n6tv6	0
1	6bv54unc	1
1	1ldynibm	0
1	1ls84u6w	0
1	1mchg5yg	0
1	1mjaycee	2
1	te1bf690	1
1	1p7fz9zr	1
1	1p941spn	0
1	1pnc889f	0
1	1qkwsh6a	2
1	1rhy8td0	0
1	1s25r3o0	0
1	1s2zsqoq	1
1	1s6dlcer	1
1	1spgrrmw	1
1	1sq2uvur	2
1	1ub01j2x	0
1	1x66nxgx	0
1	1xf2sxtv	1
1	1ybj2p1n	1
1	2054tkb7	2
1	x3sb1o4u	0
1	21fhsooy	0
1	jskzydnf	0
1	22fc1qly	2
1	22ioujwl	0
1	23yi8so0	2
1	24viekl7	1
1	dnla56uh	2
1	25va2cvt	2
1	76laky91	2
1	vembiw2k	2
1	296ilxyg	0
1	2arx86a6	1
1	2b25p7t7	2
1	2dw318eg	0
1	2e4gz2bo	0
1	1wotneev	0
1	2fb4z0dr	0
1	2ftw85xw	2
1	2gokv7id	0
1	2hb28brw	0
1	z8usmxor	0
1	2kbi9drl	2
1	2kkw9nwa	0
1	2l4xxu3v	2
1	2lk8vq03	0
1	2m6ks6nd	1
1	2mrtq4ya	0
1	2mwahvq0	0
1	2qto9vsb	0
1	2s7ki6g7	1
1	2sjsxf96	0
1	x4kirba0	0
1	2te9myos	0
1	2tu707ng	0
1	2tyt8255	1
1	2u4d235j	0
