query_id	doc_id	relevant
1	1915kvwk	2
1	rsjvuumi	2
1	55dihml5	0
1	sexx9196	0
1	njg0ln33	0
1	wy0y5ztd	0
1	jb05x03a	0
1	okqsvg8q	0
1	qp0h50t3	0
1	rzpbpxw2	0
1	h2m0rhk1	0
1	1q2gqh22	0
1	gdfxiosc	0
1	co4g09u3	0
1	u7ir986m	0
1	26276rpr	0
1	wh41wczp	0
1	gh07kf93	0
1	lpbiolvw	0
1	d5pic2ws	0
1	8xby6bfp	0
1	fnszq32y	0
1	m86s9az3	0
1	9aupcpkn	0
1	hyvwk3h9	0
1	t5ycl437	0
1	ftanlk8k	0
1	cs1g1z9b	0
1	mdx1x6wo	0
1	ofx56c28	0
1	yiaex3ai	0
1	7d1jlmv9	0
1	0vjvvgix	0
1	k6lzra89	0
1	gsp873fk	0
1	i25pgs35	0
1	10l6kx3e	2
1	vqeaavi6	0
1	5044ruwl	2
1	wap7lo05	2
1	zrycqlvs	2
1	uv4gbhbb	2
2	16k5946u	0
2	xwz7hj2b	0
2	2twm4hmc	0
2	j1cdoxqs	0
2	gvfooevu	0
2	be0mr85h	0
2	bp9xz9wk	0
2	kh21pnbw	0
2	7mfedn03	0
2	wcwyzfgl	0
2	why2zsb1	0
2	0s6k8bbe	0
2	lrtt0hpg	0
2	87i01hsi	0
2	hbalyfy3	0
2	e2paoo2m	2
2	tpfndwvq	0
2	0j5eebym	0
2	bp6st31f	0
2	ork8mgkz	0
2	kvh60zd5	1
2	c17eijdt	0
2	ds3udegk	0
2	6mibp813	0
2	d52yx420	0
2	s3eipm48	0
2	5s3en8g5	0
2	839jc5wp	0
2	hnbnr731	2
2	gpa6qnl4	0
2	78qdm3wj	0
2	0jhfn824	0
3	0yiuh017	0
3	7gasxvwd	0
3	epw1wt6m	0
3	3n0widf9	0
3	a5doaknm	0
3	gof2of9o	2
3	nhkd88yv	2
3	ygx3hg7n	0
3	amsmd809	1
3	mtngelbr	1
3	dtd1zheh	0
3	vmkndtf1	2
3	h9v5jqfc	0
3	962kva7g	0
3	olim73m8	0
3	ogj0c3u9	0
3	9r5td4vy	0
3	8hj9xuct	0
3	mtq6yh25	0
3	5wfqkr19	0
3	0vbrhaae	0
3	83efxl47	1
3	ttjtjuy2	0
3	5k9o66s7	0
3	rfgogqmu	2
3	yzqic5vt	0
4	hlx4gdc6	0
4	s5mxes4r	0
4	wy0y5ztd	0
4	jb05x03a	0
4	mdbb5kgv	0
4	8lz26sc3	2
4	qp0h50t3	0
4	okqsvg8q	0
4	5mp96lc5	0
4	9zjtwp19	0
4	91kbs20i	2
4	g592dfyz	2
4	c4uiq8jd	1
4	ucmmzhym	1
4	sntawlnf	0
4	ewm2jnal	0
4	o8c1i5c2	2
4	bs0yainl	2
4	fvdjlff3	2
4	9yztalft	0
4	erxxs1a7	0
4	qzxvh2qc	0
4	hl225efn	0
4	10l6kx3e	0
4	5044ruwl	0
4	cowt4c2c	0
4	8noxjjuh	2
4	873txs85	0
4	r6kl7vb0	0
4	sr0umk33	0
4	jwdcz71h	2
4	zy4nb6bo	2
5	ntozf7ba	0
5	w3ido97l	0
5	78zch9yh	0
5	9jdg7sot	0
5	n8jk0iv3	0
5	cvavb7j1	0
5	cl3nu5cm	0
5	hg9i6v26	0
5	jbbpu5yo	2
5	kd35rzn5	2
5	xxkagj6e	0
5	fvxxy3r2	2
5	dtwstwbe	0
5	2c0l43hg	0
5	ydywrk62	2
5	4ehhtkfn	0
5	rw37biop	0
5	a179xi5p	0
5	5t9fo6lp	0
5	jnw0pnfu	0
5	5t7jpfjg	0
5	h450b2l5	0
5	fgbilulc	0
5	ovh1fuqm	0
5	gmmgvhl5	0
5	z6btg84v	0
5	vehwo85d	0
5	35ugzktw	0
5	xmnjum3w	0
5	gxhztof5	0
5	5q5mele8	0
5	jst4ghhb	0
5	tbtff35r	0
5	3framq60	0
5	el7d8lck	0
6	9jdg7sot	0
6	n8jk0iv3	0
6	bjksz4hf	0
6	hboafe4u	2
6	bzz9foxx	1
6	6mewd1gl	1
6	4yuhtvim	1
6	oud565zt	1
6	sz7tcgzc	0
6	kw127ul5	0
6	42e2ze7l	1
6	nhgc6wcg	2
6	ezp1c9mi	0
6	of7nk5ox	0
6	1xjgtj0t	0
6	mk3ley2o	0
6	ifu4fvwh	0
6	3zl1go92	0
6	ha3vh13c	2
6	q44yuued	0
6	ymz7z76i	2
6	vkojivfl	2
7	w630f23b	0
7	qtlevnbt	2
7	ngm7jipa	2
7	l21qnohq	0
7	dqwp3z22	0
7	f05ctfoc	0
7	898a842p	0
7	dvjh2bwp	0
7	hn69l5mq	0
7	vsy97xb3	2
7	a063ikt6	0
7	ifdjyp5b	2
7	rbsmkwm8	0
7	ejbtnlx2	0
8	x7uj25nl	0
8	43l16iuc	0
8	6mewd1gl	0
8	srpgfh3h	2
8	17pav1bg	1
8	w0sb4qnl	0
8	42efk4s5	1
8	5afwyzs0	0
8	94chzrsp	0
