1	94609	1
1	67367	2
1	158966	3
1	119952	4
1	170998	5
1	138329	6
1	94611	7
1	78831	8
1	93739	9
1	133899	10
1	144983	11
1	146378	12
1	113520	13
1	54229	14
1	121554	15
1	71086	16
1	97901	17
1	88624	18
1	43259	19
1	47688	20
1	81848	21
1	90421	22
1	41867	23
1	122103	24
1	104681	25
1	115382	26
1	78189	27
1	34849	28
1	148352	29
1	66780	30
1	91904	31
1	94087	32
1	71191	33
1	159417	34
1	141248	35
1	135630	36
1	140830	37
1	156258	38
1	100340	39
1	133145	40
1	158805	41
1	145040	42
1	68404	43
1	115846	44
1	167890	45
1	119194	46
1	115158	47
1	74889	48
1	100612	49
1	80972	50
1	78900	51
1	96024	52
1	72286	53
1	112317	54
1	60324	55
1	98574	56
1	138068	57
1	118594	58
1	68066	59
1	153045	60
1	98227	61
1	69018	62
1	111057	63
1	74233	64
1	159010	65
1	150765	66
1	105229	67
1	88770	68
1	88805	69
1	21809	70
1	141328	71
1	101619	72
1	99166	73
1	75269	74
1	75313	75
1	107255	76
1	101180	77
1	90233	78
1	92998	79
1	101064	80
1	97695	81
1	107813	82
1	69433	83
1	88720	84
1	118343	85
1	88721	86
1	100429	87
1	147260	88
1	74066	89
1	118874	90
1	24489	91
1	91954	92
1	145693	93
1	94634	94
1	144017	95
1	168945	96
1	69223	97
1	81210	98
1	73110	99
1	95579	100
2	144005	1
2	74134	2
2	67962	3
2	75760	4
2	162496	5
2	142704	6
2	28537	7
2	101715	8
2	122068	9
2	127776	10
2	82284	11
2	68116	12
2	105371	13
2	80312	14
2	163928	15
2	73658	16
2	68452	17
2	34271	18
2	76254	19
2	117639	20
2	112741	21
2	77575	22
2	93622	23
2	124812	24
2	156265	25
2	75679	26
2	129804	27
2	160418	28
2	94373	29
2	71783	30
2	81317	31
2	156449	32
2	83398	33
2	162578	34
2	25575	35
2	116612	36
2	161303	37
2	68170	38
2	29072	39
2	76253	40
2	73354	41
2	82740	42
2	89511	43
2	130703	44
2	147024	45
2	70351	46
2	130693	47
2	70202	48
2	55623	49
2	128954	50
2	60671	51
2	69389	52
2	151816	53
2	55343	54
2	92538	55
2	100899	56
2	92055	57
2	165123	58
2	167788	59
2	121982	60
2	81823	61
2	111109	62
2	138975	63
2	144654	64
2	74005	65
2	26090	66
2	117961	67
2	111601	68
2	141526	69
2	103615	70
2	82718	71
2	154003	72
2	157877	73
2	69074	74
2	71251	75
2	132076	76
2	123542	77
2	99513	78
2	68618	79
2	161450	80
2	86213	81
2	130403	82
2	61454	83
2	50305	84
2	123343	85
2	143578	86
2	99222	87
2	124660	88
2	97483	89
2	148033	90
2	94753	91
2	132195	92
2	168236	93
2	90365	94
2	129371	95
2	163409	96
2	85294	97
2	88345	98
2	107575	99
2	102747	100
3	85229	1
3	158685	2
3	112741	3
3	142076	4
3	124812	5
3	125207	6
3	69679	7
3	96360	8
3	43405	9
3	152981	10
3	69655	11
3	160117	12
3	161429	13
3	109860	14
3	70128	15
3	69798	16
3	163131	17
3	124555	18
3	118099	19
3	127817	20
3	144385	21
3	73099	22
3	94181	23
3	98965	24
3	136086	25
3	112237	26
3	102335	27
3	126444	28
3	171265	29
3	76050	30
3	150466	31
3	124022	32
3	147920	33
3	143155	34
3	119991	35
3	73267	36
3	159736	37
3	132226	38
3	98867	39
3	146350	40
3	89891	41
3	39877	42
3	32227	43
3	42660	44
3	95967	45
3	47622	46
3	70085	47
3	74123	48
3	104239	49
3	88050	50
3	73207	51
3	163109	52
3	170459	53
3	126721	54
3	38016	55
3	143200	56
3	31613	57
3	96453	58
3	96658	59
3	88499	60
3	130090	61
3	155310	62
3	114571	63
3	110343	64
3	145277	65
3	40229	66
3	81493	67
3	109106	68
3	127054	69
3	25139	70
3	102129	71
3	94906	72
3	107760	73
3	148372	74
3	27774	75
3	114851	76
3	112593	77
3	166648	78
3	156862	79
3	136445	80
3	71760	81
3	171069	82
3	84884	83
3	110986	84
3	92424	85
3	126141	86
3	99689	87
3	69446	88
3	45517	89
3	135125	90
3	90439	91
3	105815	92
3	114750	93
3	142608	94
3	118584	95
3	87998	96
3	125600	97
3	27127	98
3	73479	99
3	141888	100
4	68576	1
4	138481	2
4	67880	3
4	94746	4
4	96548	5
4	116056	6
4	89322	7
4	106908	8
4	113678	9
4	35667	10
4	169017	11
4	89438	12
4	111245	13
4	38716	14
4	55505	15
4	102256	16
4	108096	17
4	160197	18
4	75002	19
4	105435	20
4	26197	21
4	124980	22
4	70511	23
4	107452	24
4	84637	25
4	117786	26
4	115374	27
4	31170	28
4	111785	29
4	42404	30
4	68656	31
4	88538	32
4	27825	33
4	68368	34
4	95504	35
4	29713	36
4	73885	37
4	71493	38
4	168425	39
4	128924	40
4	133927	41
4	134610	42
4	66780	43
4	87921	44
4	94481	45
4	75533	46
4	158730	47
4	25381	48
4	117432	49
4	39449	50
4	94148	51
4	99295	52
4	139079	53
4	151634	54
4	91954	55
4	92832	56
4	45964	57
4	133111	58
4	68030	59
4	120778	60
4	31042	61
4	67797	62
4	72184	63
4	91074	64
4	104505	65
4	69520	66
4	35706	67
4	105194	68
4	117971	69
4	141248	70
4	94781	71
4	117987	72
4	151573	73
4	25119	74
4	123431	75
4	107060	76
4	111511	77
4	71441	78
4	103296	79
4	131928	80
4	120206	81
4	84559	82
4	105202	83
4	100507	84
4	117240	85
4	63835	86
4	169139	87
4	101846	88
4	26495	89
4	161969	90
4	96362	91
4	67155	92
4	112964	93
4	105033	94
4	72286	95
4	137386	96
4	45517	97
4	45714	98
4	140861	99
4	74244	100
5	69537	1
5	141924	2
5	84823	3
5	29386	4
5	68216	5
5	89485	6
5	162993	7
5	109477	8
5	95509	9
5	89766	10
5	71858	11
5	119513	12
5	130131	13
5	169747	14
5	36615	15
5	92776	16
5	74385	17
5	90439	18
5	70875	19
5	40728	20
5	85904	21
5	69560	22
5	65737	23
5	167629	24
5	115593	25
5	113671	26
5	94703	27
5	58521	28
5	131615	29
5	155576	30
5	108538	31
5	70173	32
5	100033	33
5	40211	34
5	107695	35
5	51965	36
5	89679	37
5	129773	38
5	98928	39
5	91779	40
5	105306	41
5	90851	42
5	74912	43
5	97614	44
5	99561	45
5	71574	46
5	151509	47
5	101684	48
5	42050	49
5	149859	50
5	29289	51
5	171153	52
5	91790	53
5	57070	54
5	114101	55
5	39191	56
5	32770	57
5	168882	58
5	112511	59
5	154173	60
5	156525	61
5	98689	62
5	105153	63
5	68778	64
5	113499	65
5	153018	66
5	92050	67
5	71231	68
5	105243	69
5	92412	70
5	159999	71
5	113440	72
5	118514	73
5	113624	74
5	73525	75
5	91886	76
5	151065	77
5	132650	78
5	135905	79
5	115859	80
5	117552	81
5	102688	82
5	159427	83
5	96620	84
5	32227	85
5	112428	86
5	100473	87
5	120064	88
5	95895	89
5	110319	90
5	144333	91
5	130966	92
5	103054	93
5	74145	94
5	121129	95
5	118329	96
5	70198	97
